country,economic_status,coastal_population,waste_generation_rate_kg_person_day,percentage_plastic_in_waste_stream,percentage_inadequately_managed_waste,percent_littered_waste,waste_generation_kg_day,plastic_waste_generation_kg_day,inadequately_managed_plastic waste_kg_day,plastic_waste_littered_kg_day,mismanaged_plastic_waste_kg_person_day,mismanaged_plastic_waste_in_2010_tonnes,mismanaged_plastic_waste_in_2025_tonnes
Albania,LMI,2530533,0.77,9,45,2.0,1948510,174392,77897,3488,0.0322,29705,63051
Algeria,UMI,16556580,1.20,12,58,2.0,19867896,2374214,1378693,47484,0.0861,520555,1017444
Angola,LMI,3790041,0.48,13,71,2.0,1819220,235589,166597,4712,0.0452,62528,136770
Anguilla,HIC,14561,2.10,12,2,2.0,30578,3654,68,73,0.0097,52,73
Antigua and Barbuda,HIC,66843,5.50,12,6,2.0,367637,43933,2555,879,0.0514,1253,1385
Argentina,UMI,16449245,1.22,15,12,2.0,20068079,3000178,372261,60004,0.0263,157777,320197
Aruba,HIC,137910,2.10,12,1,2.0,289611,34609,326,692,0.0074,372,476
Australia,HIC,17235954,2.23,5,0,2.0,38436177,1902591,0,38052,0.0022,13889,24653
Bahamas,HIC,341145,3.25,12,1,2.0,1108721,132492,1002,2650,0.0107,1333,1718
Bahrain,HIC,743574,1.10,12,10,2.0,817931,97743,10033,1955,0.0161,4376,9915
Bangladesh,LI,70874124,0.43,8,87,2.0,30475873,2422832,2108603,48457,0.0304,787327,2210230
Barbados,HIC,276784,4.75,12,4,2.0,1314724,157110,6400,3142,0.0345,3483,3719
Belgium,HIC,4747957,1.33,6,0,2.0,6314783,375730,0,7515,0.0016,2743,5739
Belize,UMI,202429,2.87,6,29,2.0,580971,34568,9972,691,0.0527,3892,6042
Benin,LI,3235418,0.54,8,83,2.0,1747126,138896,115073,2778,0.0364,43015,119467
Bermuda,HIC,66966,2.10,12,0,2.0,140629,16805,0,336,0.0050,123,173
Bosnia and Herzegovina,UMI,585582,1.20,12,40,2.0,702698,83972,33813,1679,0.0606,12955,20201
Brazil,UMI,74696771,1.03,16,9,2.0,76937674,12271559,1046087,245431,0.0173,471404,954198
British Virgin Islands,HIC,29674,2.10,12,0,2.0,62315,7447,3,149,0.0051,55,78
Brunei,HIC,359871,0.87,3,1,2.0,313088,9236,71,185,0.0007,93,341
Bulgaria,UMI,1002695,1.28,12,31,2.0,1283450,153372,48273,3067,0.0512,18739,25770
Burma Myanmar,LI,18988522,0.44,17,87,2.0,8354950,1416164,1227208,28323,0.0661,458269,1149267
Cambodia,LI,1391254,0.60,11,87,2.0,834752,91405,79502,1828,0.0585,29686,62834
Cameroon,LMI,1986723,0.77,6,81,2.0,1529777,91022,74107,1820,0.0382,27713,71863
Canada,HIC,11846863,2.33,4,0,2.0,27603191,1090326,0,21807,0.0018,7959,14668
Cape Verde,LMI,522245,0.50,13,74,2.0,261123,33815,24933,676,0.0490,9347,18475
Cayman Islands,HIC,51864,2.10,12,0,2.0,108914,13015,0,260,0.0050,95,134
Channel Islands,HIC,153352,2.10,12,0,2.0,322039,38484,0,770,0.0050,281,355
Chile,UMI,5621550,1.08,11,7,2.0,6071274,664805,46304,13296,0.0106,21754,42562
China,UMI,262892387,1.10,11,74,2.0,289181626,31665388,23530300,633308,0.0919,8819717,17814777
Christmas Island,HIC,1402,2.10,12,0,2.0,2944,352,0,7,0.0050,3,4
Cocos Islands,HIC,596,2.10,12,0,2.0,1252,150,0,3,0.0050,1,2
Colombia,UMI,7498563,1.20,12,21,2.0,8998276,1075294,231024,21506,0.0337,92173,179973
Comoros,LI,938595,2.23,9,83,2.0,2093067,187329,155246,3747,0.1694,58032,100870
Congo Rep of,LMI,847807,0.53,13,77,2.0,449338,58189,44769,1164,0.0542,16766,39853
Congo Dem rep. of,LI,1076056,0.50,9,85,2.0,538028,48154,40703,963,0.0387,15208,43480
Cook Islands,UMI,20934,1.20,12,36,2.0,25121,3002,1079,60,0.0544,416,784
Costa Rica,UMI,2479298,1.36,19,16,2.0,3371845,638965,102536,12779,0.0465,42090,75895
Cote D Ivoire,LMI,6230583,0.79,13,82,2.0,4922161,637420,520288,12748,0.0856,194558,537163
Croatia,HIC,1602782,2.10,12,9,2.0,3365842,402218,37053,8044,0.0281,16461,19593
Cuba,UMI,11333471,0.81,11,23,2.0,9180112,1005222,228196,20104,0.0219,90630,180454
Curacao,HIC,143784,2.10,12,0,2.0,301946,36083,12,722,0.0051,268,378
Cyprus,HIC,840556,2.07,12,0,2.0,1739951,207924,831,4158,0.0059,1821,2611
Denmark,HIC,5376386,2.34,2,0,2.0,12580743,245324,0,4906,0.0009,1791,4233
Dhekelia,HIC,15700,2.10,12,0,2.0,32970,3940,2,79,0.0052,30,42
Djibouti,LMI,621744,0.79,13,73,2.0,491178,63608,46191,1272,0.0763,17324,45612
Dominica,UMI,70138,1.24,12,19,2.0,86971,10393,1938,208,0.0306,783,1428
Dominican Republic,UMI,8232586,1.20,12,25,2.0,9879103,1180553,300295,23611,0.0393,118226,228671
East Timor,LMI,668749,0.79,13,81,2.0,528312,68416,55316,1368,0.0848,20690,64205
Ecuador,LMI,6400048,1.13,13,30,2.0,7232054,936551,280948,18731,0.0468,109383,211021
Egypt,LMI,21750943,1.37,13,67,2.0,29798792,3858944,2572170,77179,0.1218,967012,1937428
El Salvador,LMI,6410726,1.13,13,33,2.0,7244120,938114,306531,18762,0.0507,118732,226860
Equatorial Guinea,UMI,351600,1.20,12,30,2.0,421920,50419,15367,1008,0.0466,5977,14124
Eritrea,LI,1266222,0.50,9,77,2.0,633111,56663,43411,1133,0.0352,16259,43484
Estonia,HIC,878021,1.47,12,9,2.0,1290691,154238,13296,3085,0.0187,5979,8367
Falkland Islands,HIC,2602,2.10,12,0,2.0,5464,653,0,13,0.0051,5,7
Faroe Islands,HIC,50554,2.10,12,0,2.0,106163,12687,0,254,0.0050,93,131
Fiji,UMI,896145,2.10,9,78,2.0,1881905,168430,131582,3369,0.1506,49257,70995
Finland,HIC,2927674,2.13,11,0,2.0,6235946,682836,0,13657,0.0047,4985,6422
France,HIC,17287280,1.92,10,0,2.0,33191578,3302562,0,66051,0.0038,24109,34671
French Guiana,UMI,167631,1.20,12,25,2.0,201157,24038,5986,481,0.0386,2360,5577
French Polynesia,HIC,270618,2.10,12,3,2.0,568298,67912,2165,1358,0.0130,1286,1824
Gabon,UMI,862328,0.45,12,34,2.0,388048,46372,15750,927,0.0193,6087,15446
Georgia,LMI,1124249,1.69,4,51,2.0,1899981,75049,38149,1501,0.0353,14472,24532
Germany,HIC,8837035,2.11,23,0,2.0,18646144,4279290,0,85586,0.0097,31239,33317
Ghana,LMI,7727702,0.79,5,81,2.0,6104885,302192,244835,6044,0.0325,91571,325116
Gibraltar,HIC,33483,2.10,12,0,2.0,70314,8403,9,168,0.0053,65,92
Greece,HIC,9794702,2.00,10,0,2.0,19589404,1949146,0,38983,0.0040,14229,18621
Greenland,HIC,57068,2.10,12,0,2.0,119843,14321,0,286,0.0050,105,148
Grenada,UMI,96121,2.71,12,18,2.0,260488,31128,5536,623,0.0641,2248,2452
Guadeloupe,UMI,466166,1.20,12,25,2.0,559399,66848,16646,1337,0.0386,6564,11502
Guam,HIC,190809,2.10,12,0,2.0,400699,47884,118,958,0.0056,393,574
Guatemala,LMI,2392442,2.00,14,36,2.0,4784884,667491,237508,13350,0.1049,91563,157698
Guernsey,HIC,56289,2.10,12,0,2.0,118207,14126,0,283,0.0050,103,146
Guinea,LI,1996496,0.60,5,84,2.0,1197898,59296,49538,1186,0.0254,18514,59889
Guinea-Bissau,LI,1208106,0.60,9,83,2.0,724864,64875,54156,1298,0.0459,20240,51947
Guyana,LMI,513235,5.33,11,36,2.0,2735543,299542,109084,5991,0.2242,42002,36103
Haiti,LI,9155693,1.00,9,47,2.0,9155693,819435,387416,16389,0.0441,147389,324178
Honduras,LMI,3324144,1.45,13,40,2.0,4820009,624191,249539,12484,0.0788,95638,189169
Hong Kong,HIC,7573074,1.99,20,1,2.0,15070417,3006548,17983,60131,0.0103,28512,37606
Iceland,HIC,292708,1.56,18,0,2.0,456624,81964,0,1639,0.0056,598,883
India,LMI,187493433,0.34,3,85,2.0,63747767,1880559,1605729,37611,0.0088,599819,2881294
Indonesia,LMI,187223476,0.52,11,81,2.0,97356208,10660505,8600093,213210,0.0471,3216856,7415202
Iran,UMI,9099695,1.20,12,50,2.0,10919634,1304896,651717,26098,0.0745,247403,460067
Iraq,LMI,639228,0.79,13,63,2.0,504990,65396,41330,1308,0.0667,15563,47694
Ireland,HIC,3749576,3.58,12,0,2.0,13423482,1604106,0,32082,0.0086,11710,14045
Isle of Man,HIC,81222,2.10,12,0,2.0,170566,20383,0,408,0.0050,149,210
Israel,HIC,6677810,2.12,14,1,2.0,14156957,1974896,12577,39498,0.0078,19007,28211
Italy,HIC,33822532,2.23,6,0,2.0,75424246,4487743,0,89755,0.0027,32761,45058
Jamaica,UMI,2820558,0.18,19,27,2.0,507700,96209,25525,1924,0.0097,10019,59575
Japan,HIC,115228891,1.71,10,0,2.0,197041404,19605620,0,392112,0.0034,143121,177241
Jersey,HIC,90076,2.10,12,0,2.0,189160,22605,0,452,0.0050,165,233
Jordan,UMI,55392,1.20,12,58,2.0,66470,7943,4600,159,0.0859,1737,2975
Kenya,LI,2729945,0.30,9,83,2.0,818984,73299,60610,1466,0.0227,22658,87109
Kiribati,LMI,94487,0.79,13,84,2.0,74645,9666,8148,193,0.0883,3045,6977
"Korea, North",LI,17327483,0.60,9,88,2.0,10396490,930486,815165,18610,0.0481,304328,610607
"Korea, South (Republic of Korea)",HIC,41654619,1.24,9,0,2.0,51651728,4622830,0,92457,0.0009,33747,52764
Kuwait,HIC,2293604,5.72,12,0,2.0,13119415,1567770,122,31355,0.0137,11489,13479
Latvia,UMI,1432078,1.03,12,14,2.0,1475040,176267,24651,3525,0.0197,10284,16654
Lebanon,UMI,3890871,1.18,8,34,2.0,4591228,365003,123700,7300,0.0337,47815,101852
Liberia,LI,2148271,0.60,14,84,2.0,1288963,179810,151822,3596,0.0723,56728,142787
Libya,UMI,4050128,1.20,12,23,2.0,4860154,580788,132985,11616,0.0357,52779,102577
Lithuania,UMI,443894,1.10,12,14,2.0,488283,58350,8364,1167,0.0215,3479,5478
Macao,HIC,257911,1.47,25,0,2.0,379129,94593,22,1892,0.0074,698,1146
Madagascar,LI,7062413,0.80,2,84,2.0,5649930,110174,92377,2203,0.0134,34522,177625
Malaysia,UMI,22890252,1.52,13,55,2.0,34793183,4505717,2476510,90114,0.1121,936818,1765977
Maldives,LMI,392567,2.48,13,66,2.0,973566,126077,83695,2522,0.2196,31469,40143
Malta,HIC,404707,1.78,12,6,2.0,720378,86085,5456,1722,0.0177,2620,3757
Marshall Islands,UMI,58086,1.20,16,77,2.0,69703,11118,8510,222,0.1503,3187,5717
Martinique,HIC,402257,2.10,12,0,2.0,844740,100946,33,2019,0.0051,749,955
Mauritania,LI,1005481,0.50,9,82,2.0,502741,44995,37056,900,0.0377,13854,39754
Mauritius,UMI,1255952,2.30,10,51,2.0,2888690,287425,147817,5748,0.1223,56051,73172
Mexico,UMI,22647771,1.24,7,12,2.0,28083236,1951785,238616,39036,0.0123,101343,233393
Micronesia,LMI,154895,0.79,13,81,2.0,122367,15847,12818,317,0.0848,4794,10699
Monaco,HIC,34050,2.10,12,0,2.0,71505,8545,0,171,0.0050,62,88
Montenegro,UMI,260336,1.20,12,30,2.0,312403,37332,11353,747,0.0465,4416,7244
Montserrat,UMI,5173,1.20,12,12,2.0,6208,742,89,15,0.0201,38,71
Morocco,LMI,17303431,1.46,5,66,2.0,25263009,1250519,824650,25010,0.0491,310126,706583
Mozambique,LI,9566559,0.14,11,84,2.0,1339318,146655,123081,2933,0.0132,45995,287067
Namibia,UMI,155084,1.20,12,66,2.0,186101,22239,14570,445,0.0968,5480,11340
Nauru,UMI,15289,1.20,12,67,2.0,18347,2192,1473,44,0.0992,554,1043
Netherlands,HIC,8971770,2.12,20,0,2.0,19020152,3794520,0,75890,0.0085,27700,32387
Netherlands Antilles,HIC,227165,2.10,12,0,2.0,477047,57007,0,1140,0.0050,416,368
New Caledonia,HIC,257904,2.10,12,0,2.0,541598,64721,0,1294,0.0050,472,702
New Zealand,HIC,3862054,3.68,9,0,2.0,14212359,1272006,0,25440,0.0066,9286,11517
Nicaragua,LMI,3482653,1.10,13,45,2.0,3830918,496104,221353,9922,0.0664,84415,169439
Nigeria,LMI,27477112,0.79,13,81,2.0,21706918,2811046,2276636,56221,0.0849,851493,2481008
Niue,HIC,1799,2.10,12,0,2.0,3778,451,1,9,0.0056,4,5
Norfolk Island,LMI,2156,0.79,13,82,2.0,1703,221,182,4,0.0863,68,156
Northern Mariana Islands,HIC,106256,2.10,12,0,2.0,223138,26665,66,533,0.0056,219,309
Norway,HIC,4131679,2.80,10,0,2.0,11568701,1151086,0,23022,0.0056,8403,9798
Oman,HIC,2597556,0.70,12,4,2.0,1818289,217286,8416,4346,0.0049,4658,11774
Pakistan,LMI,14581952,0.79,13,86,2.0,11519742,1491807,1286583,29836,0.0903,480493,1221460
Palau,UMI,23446,1.20,12,56,2.0,28135,3362,1895,67,0.0837,716,1350
Palestine (Gaza Strip is only part on the coast),LMI,3045258,0.79,8,6,2.0,2405754,191257,11515,3825,0.0050,5599,18676
Panama,UMI,3249531,1.21,12,18,2.0,3931933,469866,84815,9397,0.0290,34388,70759
Papua New Guinea,LMI,2747514,0.79,13,86,2.0,2170536,281084,240502,5622,0.0896,89835,242328
Peru,UMI,13765608,1.20,12,25,2.0,16518730,1973988,493267,39480,0.0387,194453,377111
Philippines,LMI,83446862,0.50,15,81,2.0,41723431,6237653,5035956,124753,0.0618,1883659,5088394
Poland,UMI,3272933,0.88,11,12,2.0,2880181,315380,36715,6308,0.0131,15703,26855
Portugal,HIC,8507951,2.21,12,0,2.0,18802572,2246907,0,44938,0.0053,16402,19382
Puerto Rico,HIC,4249848,2.10,12,2,2.0,8924681,1066499,23923,21330,0.0106,16517,20481
Qatar,HIC,653007,1.33,12,0,2.0,868499,103786,0,2076,0.0032,758,1560
Reunion,UMI,809426,1.20,12,0,2.0,971311,116072,0,2321,0.0029,847,1615
Romania,UMI,875170,1.04,4,26,2.0,910177,35952,9172,719,0.0113,3610,8261
Russia,UMI,10812537,0.93,12,16,2.0,10055659,1201651,197226,24033,0.0205,80759,128946
Saint Helena,UMI,6839,1.20,12,25,2.0,8207,981,244,20,0.0386,96,182
Saint Kitts and Nevis,UMI,36102,5.45,12,6,2.0,196756,23512,1489,470,0.0543,715,742
Saint Lucia,UMI,163227,4.35,12,20,2.0,710037,84849,16683,1697,0.1126,6709,8610
"Saint Maarten, DWI",HIC,37429,2.10,12,0,2.0,78601,9393,3,188,0.0051,70,98
Saint Pierre,HIC,5888,2.10,12,0,2.0,12365,1478,0,30,0.0051,11,15
Saint Vincent and the Grenadines,UMI,120149,1.70,13,21,2.0,204253,26451,5621,529,0.0512,2245,2996
Samoa,LMI,168025,0.79,13,80,2.0,132740,17190,13688,344,0.0835,5122,10989
Sao Tome and Principe,LMI,163740,0.79,13,81,2.0,129355,16751,13587,335,0.0850,5081,13309
Saudi Arabia,HIC,3593471,1.30,12,8,2.0,4671512,558246,45142,11165,0.0157,20552,43855
Senegal,LMI,8125063,0.79,13,82,2.0,6418800,831235,681376,16625,0.0859,254770,738264
Seychelles,UMI,91361,2.98,12,37,2.0,272256,32535,12005,651,0.1385,4619,5478
Sierra Leone,LI,2887017,0.45,9,84,2.0,1299158,116275,97423,2325,0.0346,36408,121312
Singapore,HIC,4492494,1.49,13,0,2.0,6693816,866849,393,17337,0.0039,6472,10878
Slovenia,HIC,336594,1.21,12,1,2.0,407279,48670,550,973,0.0045,556,985
Solomon Islands,LMI,618678,0.79,13,86,2.0,488756,63294,54608,1266,0.0903,20394,176589
Somalia,LI,5971169,0.60,9,85,2.0,3582701,320652,271753,6413,0.0466,101531,289601
South Africa,UMI,12899201,2.00,12,54,2.0,25798402,3082909,1664382,61658,0.1338,630005,836279
Spain,HIC,22771488,2.13,13,0,2.0,48503269,6281173,0,125623,0.0055,45853,58932
Sri Lanka,LMI,14568174,5.10,7,82,2.0,74297687,5163689,4256120,103274,0.2992,1591179,1918670
Sudan,LMI,752529,0.79,13,80,2.0,594498,76987,61277,1540,0.0835,22928,52061
Suriname,UMI,402263,1.36,12,15,2.0,547078,65376,9493,1308,0.0268,3942,6394
Svalbard,LMI,2226,0.79,13,0,2.0,1759,228,0,5,0.0020,2,4
Sweden,HIC,6202234,1.61,3,0,2.0,9985597,294575,0,5892,0.0009,2150,5245
Syria,LMI,3621997,1.37,13,65,2.0,4962136,642597,419763,12852,0.1194,157904,304960
Taiwan,HIC,22211567,2.10,12,0,2.0,46644291,5573993,13776,111480,0.0056,45718,64631
Tanzania,LI,6688695,0.26,9,84,2.0,1739061,155646,129999,3113,0.0199,48586,214196
Thailand,UMI,26043442,1.20,12,73,2.0,31252130,3734630,2741031,74693,0.1081,1027739,2179508
The Gambia,LI,1324214,0.53,9,84,2.0,701833,62814,52485,1256,0.0406,19616,53498
Togo,LI,1991642,0.52,11,84,2.0,1035654,113404,94721,2268,0.0487,35401,96994
Tokelau,LMI,1379,0.79,13,82,2.0,1089,141,116,3,0.0863,43,100
Tonga,LMI,102872,3.71,6,78,2.0,381655,22708,17694,454,0.1764,6624,10272
Trinidad and Tobago,HIC,1358433,14.40,25,3,2.0,19561435,4880578,160103,97612,0.1897,94066,73512
Tunisia,UMI,7274973,1.20,12,60,2.0,8729968,1043231,621077,20865,0.0882,234309,440701
Turkey,UMI,34042862,1.77,12,16,2.0,60255866,7200576,1187323,144012,0.0391,485937,790235
Turks and Caicos Islands,HIC,22570,2.10,12,0,2.0,47397,5664,22,113,0.0060,49,70
Tuvalu,UMI,11563,1.20,12,73,2.0,13876,1658,1218,33,0.1082,457,861
Ukraine,LMI,6812799,0.79,13,49,2.0,5382111,696983,338841,13940,0.0518,128765,233388
United Arab Emirates,HIC,2018302,1.66,12,0,2.0,3350381,400371,256,8007,0.0041,3016,5910
United Kingdom,HIC,43258889,1.79,12,0,2.0,77433411,9253293,0,185066,0.0043,67549,94165
United States,HIC,112925034,2.58,13,0,2.0,291346588,37729383,0,754588,0.0067,275424,336819
Uruguay,HIC,2433597,2.10,12,8,2.0,5110554,610711,46861,12214,0.0243,21562,8037
USVI,HIC,134219,2.10,12,0,2.0,281860,33682,11,674,0.0051,250,296
Vanuatu,LMI,251851,3.28,9,81,2.0,826071,73933,60104,1479,0.2445,22478,38006
Venezuela,HIC,16094897,2.10,12,5,2.0,33799284,4039014,199585,80780,0.0174,102333,154243
Vietnam,LMI,55858245,0.79,13,86,2.0,44128014,5714578,4909870,114292,0.0899,1833819,4172828
Yemen,LMI,6048920,0.79,13,73,2.0,4778647,618835,451134,12377,0.0766,169181,513907
