,Country,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes,%_Change_2010_to_2025
0,Albania,29705.0,63051.0,1.1225719575828985
1,Algeria,520555.0,1017444.0,0.9545369845645513
2,Angola,62528.0,136770.0,1.1873400716479017
3,Anguilla,52.0,73.0,0.40384615384615385
4,Antigua & Barbuda,1253.0,1385.0,0.10534716679968077
5,Argentina,157777.0,320197.0,1.0294276098544148
6,Aruba,372.0,476.0,0.27956989247311825
7,Australia,13889.0,24653.0,0.7750017999856001
8,Bahamas,1333.0,1718.0,0.2888222055513878
9,Bahrain,4376.0,9915.0,1.2657678244972577
10,Bangladesh,787327.0,2210230.0,1.8072579754028504
11,Barbados,3483.0,3719.0,0.06775768016078093
12,Belgium,2743.0,5739.0,1.092234779438571
13,Belize,3892.0,6042.0,0.552415210688592
14,Benin,43015.0,119467.0,1.7773334883180285
15,Bermuda,123.0,173.0,0.4065040650406504
16,Bosnia and Herzegovina,12955.0,20201.0,0.5593207255885758
17,Brazil,471404.0,954198.0,1.024161865406318
18,British Virgin Islands,55.0,78.0,0.41818181818181815
19,Brunei,93.0,341.0,2.6666666666666665
20,Bulgaria,18739.0,25770.0,0.37520678798228296
21,Burma/Myanmar,458269.0,1149267.0,1.5078436464172789
22,Cambodia,29686.0,62834.0,1.1166206292528464
23,Cameroon,27713.0,71863.0,1.5931151445170137
24,Canada,7959.0,14668.0,0.8429450936047242
25,Cape Verde,9347.0,18475.0,0.9765700224671018
26,Cayman Islands,95.0,134.0,0.4105263157894737
27,Channel Islands,281.0,355.0,0.26334519572953735
28,Chile,21754.0,42562.0,0.9565137445986945
29,China,8819717.0,17814777.0,1.0198807966287353
30,Christmas Island,3.0,4.0,0.3333333333333333
31,Cocos Islands,1.0,2.0,1.0
32,Colombia,92173.0,179973.0,0.9525566055135452
33,Comoros,58032.0,100870.0,0.7381789357595809
34,Congo Rep of,16766.0,39853.0,1.3770130025050697
35,"Congo, Dem rep. of",15208.0,43480.0,1.859021567596002
36,Cook Islands,416.0,784.0,0.8846153846153846
37,Costa Rica,42090.0,75895.0,0.803159895462105
38,Cote d'Ivoire,194558.0,537163.0,1.760940182362072
39,Croatia,16461.0,19593.0,0.19026790595954074
40,Cuba,90630.0,180454.0,0.9911066975615138
41,Curacao,268.0,378.0,0.41044776119402987
42,Cyprus,1821.0,2611.0,0.43382756727073035
43,Denmark,1791.0,4233.0,1.3634840871021776
44,Dhekelia,30.0,42.0,0.4
45,Djibouti,17324.0,45612.0,1.6328792426691294
46,Dominica,783.0,1428.0,0.8237547892720306
47,Dominican Republic,118226.0,228671.0,0.93418537377565
48,East Timor,20690.0,64205.0,2.1031899468342194
49,Ecuador,109383.0,211021.0,0.9291937503999708
50,Egypt,967012.0,1937428.0,1.0035201217771859
51,El Salvador,118732.0,226860.0,0.9106896203213961
52,Equatorial Guinea,5977.0,14124.0,1.3630583904969047
53,Eritrea,16259.0,43484.0,1.6744572236914939
54,Estonia,5979.0,8367.0,0.3993978926241846
55,Falkland Islands,5.0,7.0,0.4
56,Faroe Islands,93.0,131.0,0.40860215053763443
57,Fiji,49257.0,70995.0,0.44131798526097815
58,Finland,4985.0,6422.0,0.28826479438314945
59,France,24109.0,34671.0,0.4380936579700527
60,French Guiana,2360.0,5577.0,1.363135593220339
61,French Polynesia,1286.0,1824.0,0.41835147744945567
62,Gabon,6087.0,15446.0,1.5375390175784458
63,Georgia,14472.0,24532.0,0.6951354339414041
64,Germany,31239.0,33317.0,0.06651941483402157
65,Ghana,91571.0,325116.0,2.5504253530047722
66,Gibraltar,65.0,92.0,0.4153846153846154
67,Greece,14229.0,18621.0,0.30866540164452877
68,Greenland,105.0,148.0,0.4095238095238095
69,Grenada,2248.0,2452.0,0.09074733096085409
70,Guadeloupe,6564.0,11502.0,0.7522851919561243
71,Guam,393.0,574.0,0.46055979643765904
72,Guatemala,91563.0,157698.0,0.72228957111497
73,Guernsey,103.0,146.0,0.4174757281553398
74,Guinea,18514.0,59889.0,2.2347952900507724
75,Guinea-Bissau,20240.0,51947.0,1.5665513833992095
76,Guyana,42002.0,36103.0,-0.14044569306223514
77,Haiti,147389.0,324178.0,1.1994721451397323
78,Honduras,95638.0,189169.0,0.9779690081348418
79,Hong Kong,28512.0,37606.0,0.3189534231200898
80,Iceland,598.0,883.0,0.4765886287625418
81,India,599819.0,2881294.0,3.8036057544025783
82,Indonesia,3216856.0,7415202.0,1.305108466154531
83,Iran,247403.0,460067.0,0.859585372853199
84,Iraq,15563.0,47694.0,2.0645762385144253
85,Ireland,11710.0,14045.0,0.19940222032450897
86,Isle of Man,149.0,210.0,0.40939597315436244
87,Israel,19007.0,28211.0,0.4842426474456779
88,Italy,32761.0,45058.0,0.3753548426482708
89,Jamaica,10019.0,59575.0,4.946202215789999
90,Japan,143121.0,177241.0,0.23839967579879962
91,Jersey,165.0,233.0,0.4121212121212121
92,Jordan,1737.0,2975.0,0.7127230857800806
93,Kenya,22658.0,87109.0,2.844514078912525
94,Kiribati,3045.0,6977.0,1.2912972085385879
95,"Korea, North",304328.0,610607.0,1.0064108461922663
96,"Korea, South (Republic of Korea)",33747.0,52764.0,0.5635167570450706
97,Kuwait,11489.0,13479.0,0.17320915658455915
98,Latvia,10284.0,16654.0,0.6194087903539479
99,Lebanon,47815.0,101852.0,1.1301265293317997
100,Liberia,56728.0,142787.0,1.517046255817233
101,Libya,52779.0,102577.0,0.9435192027132003
102,Lithuania,3479.0,5478.0,0.5745903995400977
103,Macao,698.0,1146.0,0.6418338108882522
104,Madagascar,34522.0,177625.0,4.145269683100631
105,Malaysia,936818.0,1765977.0,0.8850801329607245
106,Maldives,31469.0,40143.0,0.2756363405255966
107,Malta,2620.0,3757.0,0.43396946564885497
108,Marshall Islands,3187.0,5717.0,0.7938500156887355
109,Martinique,749.0,955.0,0.2750333778371162
110,Mauritania,13854.0,39754.0,1.8694961743900678
111,Mauritius,56051.0,73172.0,0.30545396157071236
112,Mexico,101343.0,233393.0,1.303000700591062
113,Micronesia,4794.0,10699.0,1.2317480183562788
114,Monaco,62.0,88.0,0.41935483870967744
115,Montenegro,4416.0,7244.0,0.6403985507246377
116,Montserrat,38.0,71.0,0.868421052631579
117,Morocco,310126.0,706583.0,1.2783739512327248
118,Mozambique,45995.0,287067.0,5.241265354929884
119,Namibia,5480.0,11340.0,1.0693430656934306
120,Nauru,554.0,1043.0,0.8826714801444043
121,Netherlands,27700.0,32387.0,0.1692057761732852
122,Netherlands Antilles,416.0,368.0,-0.11538461538461539
123,New Caledonia,472.0,702.0,0.4872881355932203
124,New Zealand,9286.0,11517.0,0.24025414602627612
125,Nicaragua,84415.0,169439.0,1.0072143576378605
126,Nigeria,851493.0,2481008.0,1.9137150863248436
127,Niue,4.0,5.0,0.25
128,Norfolk Island,68.0,156.0,1.2941176470588236
129,Northern Mariana Islands,219.0,309.0,0.410958904109589
130,Norway,8403.0,9798.0,0.16601213852195645
131,Oman,4658.0,11774.0,1.52769428939459
132,Pakistan,480493.0,1221460.0,1.5420973874749475
133,Palau,716.0,1350.0,0.8854748603351955
134,Palestine (Gaza Strip is only part on the coast),5599.0,18676.0,2.3355956420789425
135,Panama,34388.0,70759.0,1.0576654646969874
136,Papua New Guinea,89835.0,242328.0,1.697478710970112
137,Peru,194453.0,377111.0,0.9393426689225675
138,Philippines,1883659.0,5088394.0,1.7013350080879819
139,Poland,15703.0,26855.0,0.7101827676240209
140,Portugal,16402.0,19382.0,0.18168516034629922
141,Puerto Rico,16517.0,20481.0,0.23999515650541867
142,Qatar,758.0,1560.0,1.0580474934036939
143,Reunion,847.0,1615.0,0.9067296340023613
144,Romania,3610.0,8261.0,1.2883656509695292
145,Russia,80759.0,128946.0,0.596676531408264
146,Saint Helena,96.0,182.0,0.8958333333333334
147,Saint Kitts and Nevis,715.0,742.0,0.03776223776223776
148,Saint Lucia,6709.0,8610.0,0.2833507229095245
149,"Saint Maarten, DWI",70.0,98.0,0.4
150,Saint Pierre,11.0,15.0,0.36363636363636365
151,Saint Vincent and the Grenadines,2245.0,2996.0,0.33452115812917593
152,Samoa,5122.0,10989.0,1.145450995704803
153,Sao Tome and Principe,5081.0,13309.0,1.6193662664829758
154,Saudi Arabia,20552.0,43855.0,1.1338555858310626
155,Senegal,254770.0,738264.0,1.8977666130235114
156,Seychelles,4619.0,5478.0,0.18597098939164322
157,Sierra Leone,36408.0,121312.0,2.3320149417710394
158,Singapore,6472.0,10878.0,0.680778739184178
159,Slovenia,556.0,985.0,0.7715827338129496
160,Solomon Islands,20394.0,176589.0,7.658870255957635
161,Somalia,101531.0,289601.0,1.8523406644276132
162,South Africa,630005.0,836279.0,0.327416449075801
163,Spain,45853.0,58932.0,0.28523760713584717
164,Sri Lanka,1591179.0,1918670.0,0.2058165674634972
165,Sudan,22928.0,52061.0,1.2706297976273553
166,Suriname,3942.0,6394.0,0.6220192795535261
167,Svalbard,2.0,4.0,1.0
168,Sweden,2150.0,5245.0,1.4395348837209303
169,Syria,157904.0,304960.0,0.9313000303982166
170,Taiwan,45718.0,64631.0,0.4136882628286452
171,Tanzania,48586.0,214196.0,3.408595068538262
172,Thailand,1027739.0,2179508.0,1.120682391151839
173,The Gambia,19616.0,53498.0,1.7272634584013051
174,Togo,35401.0,96994.0,1.7398661054772464
175,Tokelau,43.0,100.0,1.3255813953488371
176,Tonga,6624.0,10272.0,0.5507246376811594
177,Trinidad and Tobago,94066.0,73512.0,-0.21850615525269493
178,Tunisia,234309.0,440701.0,0.880853915129167
179,Turkey,485937.0,790235.0,0.6262087472244344
180,Turks and Caicos Islands,49.0,70.0,0.42857142857142855
181,Tuvalu,457.0,861.0,0.8840262582056893
182,Ukraine,128765.0,233388.0,0.8125111637479129
183,United Arab Emirates,3016.0,5910.0,0.9595490716180372
184,United Kingdom,67549.0,94165.0,0.39402507809145954
185,United States,275424.0,336819.0,0.2229108574416173
186,Uruguay,21562.0,8037.0,-0.627260921992394
187,USVI,250.0,296.0,0.184
188,Vanuatu,22478.0,38006.0,0.6908087908176884
189,Venezuela,102333.0,154243.0,0.5072654959788143
190,Vietnam,1833819.0,4172828.0,1.2754852032834212
191,Yemen,169181.0,513907.0,2.037616517221201
